"FECHA_PRECIO","ANIO_PRECIO","MES_PRECIO","DIA_PRECIO","DEPARTAMENTO_EDS","MUNICIPIO_EDS","NOMBRE_COMERCIAL_EDS","PRECIO_PROMEDIO_PUBLICADO","TIPO_COMBUSTIBLE","CODIGO_MUNICIPIO_DANE","LATITUD_MUNICIPIO","LONGITUD_MUNICIPIO"
"2021-2-01","2021","2","01","ATLANTICO","BARRANQUILLA","ESTACION DE SERVICIO MURILLO LA 45","1,570","GNCV","08001","10.978","-74.815"
"2023-4-01","2023","4","01","VALLE DEL CAUCA","CALI","CHIPICHAPE - GNV","2,617","GNCV","76001","3.41369","-76.521"
"2025-4-01","2025","4","01","ANTIOQUIA","ITAGUI","ESTACIÓN DE SERVICIOS TEXACO COLTEJER","3,590","GNCV","05360","6.17508","-75.612"
"2022-2-01","2022","2","01","BOGOTA D.C.","BOGOTA, D.C.","EDS TERPEL GNV JAVERIANA","1,999","GNCV","11001","4.64925","-74.107"
"2025-3-01","2025","3","01","BOGOTA D.C.","BOGOTA, D.C.","ESTACIÓN DE SERVICIO ESPERANZA BOSA","2,519","GNCV","11001","4.64925","-74.107"
"2024-5-01","2024","5","01","ANTIOQUIA","MEDELLIN","EPM CARIBE","2,595","GNCV","05001","6.24663","-75.581"
"2022-7-01","2022","7","01","ANTIOQUIA","MEDELLIN","ESTACIÓN DE SERVICIOS EPM LA 30","2,055","GNCV","05001","6.24663","-75.581"
"2022-11-01","2022","11","01","VALLE DEL CAUCA","CALI","EDS ROOSVELT GNV","2,487","GNCV","76001","3.41369","-76.521"
"2022-11-01","2022","11","01","ANTIOQUIA","MEDELLIN","EDS GAZEL TOSCANA","2,325","GNCV","05001","6.24663","-75.581"
"2022-8-01","2022","8","01","META","VILLAVICENCIO","ESTACIÓN DE SERVICIO MILENIUM GAS CATAMA","1,899","GNCV","50001","4.12637","-73.622"
"2025-6-01","2025","6","01","ANTIOQUIA","MEDELLIN","EPM EL BOSQUE","3,500","GNCV","05001","6.24663","-75.581"
"2022-7-01","2022","7","01","VALLE DEL CAUCA","CALI","ESTACION DE SERVICIO TERPEL LA CASONA","2,140","GNCV","76001","3.41369","-76.521"
"2024-2-01","2024","2","01","VALLE DEL CAUCA","CALI","OPECOM EDS SILOE","2,817","GNCV","76001","3.41369","-76.521"
"2024-11-01","2024","11","01","HUILA","NEIVA","EDS COOTRANSHUILA TERMINAL","2,800","GNCV","41001","2.93543","-75.277"
"2022-11-01","2022","11","01","ANTIOQUIA","RIONEGRO","EPM AEROPUERTO JMC","2,200","GNCV","05615","6.14715","-75.377"
"2021-12-01","2021","12","01","QUINDIO","ARMENIA","EDS LA GALAN","2,074","GNCV","63001","4.53598","-75.680"
"2024-9-01","2024","9","01","BOGOTA D.C.","BOGOTA, D.C.","EDS PATIO SITP BRASIL","1,799","GNCV","11001","4.64925","-74.107"
"2022-1-01","2022","1","01","CESAR","VALLEDUPAR","INVERSIONES FESTIVAL S.A.S.","1,340","GNCV","20001","10.4605","-73.259"
"2022-11-01","2022","11","01","BOGOTA D.C.","BOGOTA, D.C.","EDS TERPEL GNV MARIANA","2,018","GNCV","11001","4.64925","-74.107"
"2022-8-01","2022","8","01","ATLANTICO","BARRANQUILLA","PUNTO GAS RECREO","1,807","GNCV","08001","10.978","-74.815"
"2024-11-01","2024","11","01","BOGOTA D.C.","BOGOTA, D.C.","EDS MOBIL LOS ANDES","2,333","GNCV","11001","4.64925","-74.107"
"2023-6-01","2023","6","01","VALLE DEL CAUCA","GUADALAJARA DE BUGA","ESTACION DE SERVICIO EL CAÑADUZAL","1,996","GNCV","76111","3.90074","-76.299"
"2023-5-01","2023","5","01","ATLANTICO","PUERTO COLOMBIA","EDS CASTELLANA GNV","2,066","GNCV","08573","11.0153","-74.888"
"2022-7-01","2022","7","01","ANTIOQUIA","APARTADO","EPM NAVARRA","2,055","GNCV","05045","7.88297","-76.625"
"2025-5-01","2025","5","01","ATLANTICO","BARRANQUILLA","GAZEL ALAMEDA","2,967","GNCV","08001","10.978","-74.815"
"2025-6-01","2025","6","01","BOGOTA D.C.","BOGOTA, D.C.","EDS PATIO TM TEMPORAL NORTE","1,899","GNCV","11001","4.64925","-74.107"
"2022-11-01","2022","11","01","VALLE DEL CAUCA","CALI","EDS LA 50 TERPEL GNV","2,484","GNCV","76001","3.41369","-76.521"
"2025-5-01","2025","5","01","CESAR","BOSCONIA","EDS TERPEL EL DIAMANTE GNV","3,018","GNCV","20060","9.9751","-73.888"
"2023-3-01","2023","3","01","ANTIOQUIA","MEDELLIN","ESTACION DE SERVICIO ZULY","2,435","GNCV","05001","6.24663","-75.581"
"2021-5-01","2021","5","01","BOGOTA D.C.","BOGOTA, D.C.","ESTACIÓN DE SERVICIO GNV ALQUERIA","1,699","GNCV","11001","4.64925","-74.107"
"2023-4-01","2023","4","01","BOGOTA D.C.","BOGOTA, D.C.","ESTACION DE SERVICIO SAN RAFAEL","2,139","GNCV","11001","4.64925","-74.107"
"2023-6-01","2023","6","01","ATLANTICO","BARRANQUILLA","EDS GNV LA CEIBA","2,026","GNCV","08001","10.978","-74.815"
"2022-8-01","2022","8","01","SUCRE","SINCELEJO","EDS CRUZ DE MAYO GNV","1,858","GNCV","70001","9.30232","-75.395"
"2022-10-01","2022","10","01","HUILA","NEIVA","EDS TERPEL CHICALA - GNV","2,305","GNCV","41001","2.93543","-75.277"
"2025-7-01","2025","7","01","VALLE DEL CAUCA","TULUA","EDS SERVICENTRO TERMINAL TULUA","3,349","GNCV","76834","4.0854","-76.197"
"2024-8-01","2024","8","01","BOGOTA D.C.","BOGOTA, D.C.","EDS PATIO TM SUBA","1,799","GNCV","11001","4.64925","-74.107"
"2024-9-01","2024","9","01","ATLANTICO","BARRANQUILLA","ESTACION PUNTO GAS LAS PALMITAS","2,445","GNCV","08001","10.978","-74.815"
"2022-12-01","2022","12","01","VALLE DEL CAUCA","CARTAGO","EDS LA 20 GNV","2,430","GNCV","76147","4.74219","-75.924"
"2023-5-01","2023","5","01","BOGOTA D.C.","BOGOTA, D.C.","EDS BIOMAX CALLE 13","1,999","GNCV","11001","4.64925","-74.107"
"2021-12-01","2021","12","01","VALLE DEL CAUCA","CALI","ESTACION DE SERVICIO LA AVENIDA GAS VEHICULAR","1,967","GNCV","76001","3.41369","-76.521"
"2021-12-01","2021","12","01","VALLE DEL CAUCA","CALI","OPECOM EDS SILOE","1,778","GNCV","76001","3.41369","-76.521"
"2023-12-01","2023","12","01","CESAR","PAILITAS","EDS LA FRONTERA FLORESTA","2,099","GNCV","20517","8.9594","-73.625"
"2021-9-01","2021","9","01","BOGOTA D.C.","BOGOTA, D.C.","ESTACIÓN JUAN MARTIN","1,749","GNCV","11001","4.64925","-74.107"
"2024-9-01","2024","9","01","CUNDINAMARCA","COTA","EDS ESSO AUTOPISTA MEDELLÍN","2,456","GNCV","25214","4.81256","-74.102"
"2023-11-01","2023","11","01","ANTIOQUIA","MEDELLIN","EDS ESSO AVENIDA ORIENTAL","2,415","GNCV","05001","6.24663","-75.581"
"2021-7-01","2021","7","01","BOGOTA D.C.","BOGOTA, D.C.","EDS ESSO QUIROGA","1,729","GNCV","11001","4.64925","-74.107"
"2023-9-01","2023","9","01","BOGOTA D.C.","BOGOTA, D.C.","EDS ESTANCIA","2,129","GNCV","11001","4.64925","-74.107"
"2023-12-01","2023","12","01","BOGOTA D.C.","BOGOTA, D.C.","EDS ESSO LOS COMUNEROS","2,219","GNCV","11001","4.64925","-74.107"
"2022-12-01","2022","12","01","VALLE DEL CAUCA","CALI","ESTACION DE SERVICIO GNV LA 25","2,338","GNCV","76001","3.41369","-76.521"
"2022-9-01","2022","9","01","RISARALDA","PEREIRA","ESTACIÓN DE SERVICIO EL ROSAL PEREIRA","1,995","GNCV","66001","4.80499","-75.719"
"2025-7-01","2025","7","01","CUNDINAMARCA","MOSQUERA","ESTACION DE SERVICIO EL PORVENIR","2,499","GNCV","25473","4.70653","-74.221"
"2021-3-01","2021","3","01","BOGOTA D.C.","BOGOTA, D.C.","ESTACION DE SERVICIO TERPEL GNV CIUDAD DE CALI","1,629","GNCV","11001","4.64925","-74.107"
"2023-1-01","2023","1","01","CUNDINAMARCA","MOSQUERA","ESTACION DE SERVICIO TERPEL LA TORRE GNV","2,099","GNCV","25473","4.70653","-74.221"
"2022-12-01","2022","12","01","ANTIOQUIA","MEDELLIN","ESTACION DE SERVICIO TERPEL LA 33 - GNV","2,325","GNCV","05001","6.24663","-75.581"
"2021-7-01","2021","7","01","ANTIOQUIA","RIONEGRO","EPM AEROPUERTO JMC","1,800","GNCV","05615","6.14715","-75.377"
"2024-5-01","2024","5","01","ATLANTICO","BARRANQUILLA","EDS LA PAZ BARRANQUILLA GNV","1,999","GNCV","08001","10.978","-74.815"
"2023-4-01","2023","4","01","CUNDINAMARCA","SOACHA","ESTACION DE SERVICIO EL PIRE","2,079","GNCV","25754","4.57927","-74.215"
"2022-3-01","2022","3","01","BOYACA","TUNJA","ESTACION DE SERVICIO GNV LA ESMERALDA","1,750","GNCV","15001","5.53988","-73.355"
"2024-6-01","2024","6","01","VALLE DEL CAUCA","CALI","EDS EL SAMÁN","2,590","GNCV","76001","3.41369","-76.521"
"2022-1-01","2022","1","01","RISARALDA","PEREIRA","ESTACIÓN DE SERVICIO EL ROSAL PEREIRA","1,799","GNCV","66001","4.80499","-75.719"
"2024-7-01","2024","7","01","BOGOTA D.C.","BOGOTA, D.C.","ESTACIÓN DE SERVICIO LA GRANJA","2,229","GNCV","11001","4.64925","-74.107"
"2022-5-01","2022","5","01","VALLE DEL CAUCA","CALI","OPECOM EDS LA AUTOPISTA SUR","1,868","GNCV","76001","3.41369","-76.521"
"2021-10-01","2021","10","01","CORDOBA","MONTERIA","EDS TERPEL EL CORTIJO - GNV","1,679","GNCV","23001","8.75979","-75.873"
"2022-2-01","2022","2","01","BOGOTA D.C.","BOGOTA, D.C.","EDS ESSO AVENIDA 68","1,999","GNCV","11001","4.64925","-74.107"
"2023-9-01","2023","9","01","ATLANTICO","BARRANQUILLA","EDS CAMPO ALEGRE GNV","2,092","GNCV","08001","10.978","-74.815"
"2023-6-01","2023","6","01","BOGOTA D.C.","BOGOTA, D.C.","EDS PATIO SITP SAN BERNARDINO","1,699","GNCV","11001","4.64925","-74.107"
"2025-8-01","2025","8","01","CASANARE","YOPAL","ESTACIÓN DE SERVICIO TRANSUNIDOS","2,369","GNCV","85001","5.3271","-72.396"
"2024-1-01","2024","1","01","MAGDALENA","SANTA MARTA","EDS GNC ZUCA","2,414","GNCV","47001","11.2047","-74.199"
"2021-7-01","2021","7","01","ATLANTICO","BARRANQUILLA","EDS COESCO PRADO","1,589","GNCV","08001","10.978","-74.815"
"2025-8-01","2025","8","01","RISARALDA","PEREIRA","ESTACIÓN DE SERVICIO GNV SAN GABRIEL","3,349","GNCV","66001","4.80499","-75.719"
"2025-3-01","2025","3","01","BOGOTA D.C.","BOGOTA, D.C.","EDS PATIO SITP SAN BERNARDINO","1,899","GNCV","11001","4.64925","-74.107"
"2021-3-01","2021","3","01","VALLE DEL CAUCA","CALI","JORGE R. NAVIA K ESTACION DE SERVICIO TEXACO # 1","1,989","GNCV","76001","3.41369","-76.521"
"2025-1-01","2025","1","01","BOGOTA D.C.","BOGOTA, D.C.","ESTACION DE SERVICIO TERPEL COLON - GNV","2,314","GNCV","11001","4.64925","-74.107"
"2023-10-01","2023","10","01","VALLE DEL CAUCA","CALI","ESTACION DE SERVICIO EL CAMBIO S.A.S","2,657","GNCV","76001","3.41369","-76.521"
"2024-9-01","2024","9","01","VALLE DEL CAUCA","YUMBO","PETROLGAS GNV","3,068","GNCV","76892","3.5401","-76.499"
"2022-3-01","2022","3","01","ANTIOQUIA","MEDELLIN","EPM CARIBE","1,955","GNCV","05001","6.24663","-75.581"
